station_order,global_order,timestamp,route_info,date
5,13,30108.0,1/00720,1
6,13,30319.0,1/00720,1
7,13,30464.0,1/00720,1
8,13,30602.0,1/00720,1
9,13,30881.0,1/00720,1
10,13,31554.0,1/00720,1
11,13,31774.0,1/00720,1
12,13,31964.0,1/00720,1
13,13,32083.0,1/00720,1
14,13,32352.0,1/00720,1
15,13,32652.0,1/00720,1
16,13,32834.0,1/00720,1
17,13,32972.0,1/00720,1
18,13,33188.0,1/00720,1
19,13,33408.0,1/00720,1
20,13,33822.0,1/00720,1
21,13,33936.0,1/00720,1
22,13,34297.0,1/00720,1
23,13,34472.0,1/00720,1
24,13,34665.0,1/00720,1
25,13,34805.0,1/00720,1
26,13,35003.0,1/00720,1
27,13,35094.0,1/00720,1
28,13,35159.0,1/00720,1
29,13,35289.0,1/00720,1
1,14,29669.0,1/00720,1
2,14,29987.0,1/00720,1
3,14,30260.0,1/00720,1
4,14,30427.0,1/00720,1
5,14,30672.0,1/00720,1
6,14,30812.0,1/00720,1
7,14,30982.0,1/00720,1
8,14,31068.0,1/00720,1
9,14,31373.0,1/00720,1
10,14,31774.0,1/00720,1
11,14,31947.0,1/00720,1
12,14,32111.0,1/00720,1
13,14,32215.0,1/00720,1
14,14,32545.0,1/00720,1
15,14,32796.0,1/00720,1
16,14,32986.0,1/00720,1
17,14,33120.0,1/00720,1
18,14,33329.0,1/00720,1
19,14,33526.0,1/00720,1
20,14,33949.0,1/00720,1
21,14,34042.0,1/00720,1
22,14,34299.0,1/00720,1
23,14,34474.0,1/00720,1
24,14,34671.0,1/00720,1
25,14,34840.0,1/00720,1
26,14,35009.0,1/00720,1
27,14,35098.0,1/00720,1
28,14,35164.0,1/00720,1
29,14,35301.0,1/00720,1
1,15,30117.0,1/00720,1
2,15,30406.0,1/00720,1
3,15,30700.0,1/00720,1
4,15,30873.0,1/00720,1
5,15,31167.0,1/00720,1
6,15,31292.0,1/00720,1
7,15,31529.0,1/00720,1
8,15,31635.0,1/00720,1
9,15,31949.0,1/00720,1
10,15,32419.0,1/00720,1
11,15,32599.0,1/00720,1
12,15,32771.0,1/00720,1
13,15,32966.0,1/00720,1
14,15,33418.0,1/00720,1
15,15,33887.0,1/00720,1
16,15,34113.0,1/00720,1
17,15,34285.0,1/00720,1
18,15,34477.0,1/00720,1
19,15,34632.0,1/00720,1
20,15,35122.0,1/00720,1
21,15,35205.0,1/00720,1
22,15,35275.0,1/00720,1
23,15,35422.0,1/00720,1
24,15,35579.0,1/00720,1
25,15,35660.0,1/00720,1
26,15,35823.0,1/00720,1
27,15,35941.0,1/00720,1
28,15,36022.0,1/00720,1
29,15,36138.0,1/00720,1
1,16,30613.0,1/00720,1
2,16,30745.0,1/00720,1
3,16,30897.0,1/00720,1
4,16,31012.0,1/00720,1
5,16,31288.0,1/00720,1
6,16,31421.0,1/00720,1
7,16,31661.0,1/00720,1
8,16,31751.0,1/00720,1
9,16,32071.0,1/00720,1
10,16,32628.0,1/00720,1
11,16,32791.0,1/00720,1
12,16,32952.0,1/00720,1
13,16,33106.0,1/00720,1
14,16,33604.0,1/00720,1
15,16,33947.0,1/00720,1
16,16,34232.0,1/00720,1
17,16,34361.0,1/00720,1
18,16,34528.0,1/00720,1
19,16,34641.0,1/00720,1
20,16,35229.0,1/00720,1
21,16,35285.0,1/00720,1
22,16,35407.0,1/00720,1
23,16,35560.0,1/00720,1
24,16,35722.0,1/00720,1
25,16,35785.0,1/00720,1
26,16,35855.0,1/00720,1
27,16,35948.0,1/00720,1
28,16,36039.0,1/00720,1
29,16,36171.0,1/00720,1
1,17,31142.0,1/00720,1
2,17,31293.0,1/00720,1
3,17,31453.0,1/00720,1
4,17,31592.0,1/00720,1
5,17,31811.0,1/00720,1
6,17,32023.0,1/00720,1
7,17,32228.0,1/00720,1
8,17,32390.0,1/00720,1
9,17,32663.0,1/00720,1
10,17,33237.0,1/00720,1
11,17,33437.0,1/00720,1
12,17,33619.0,1/00720,1
13,17,33725.0,1/00720,1
14,17,34016.0,1/00720,1
15,17,34417.0,1/00720,1
16,17,34599.0,1/00720,1
17,17,34741.0,1/00720,1
18,17,34886.0,1/00720,1
19,17,35032.0,1/00720,1
20,17,35617.0,1/00720,1
21,17,35680.0,1/00720,1
22,17,35827.0,1/00720,1
23,17,35985.0,1/00720,1
24,17,36152.0,1/00720,1
25,17,36263.0,1/00720,1
26,17,36469.0,1/00720,1
27,17,36598.0,1/00720,1
28,17,36661.0,1/00720,1
29,17,36803.0,1/00720,1
1,18,31591.0,1/00720,1
2,18,31784.0,1/00720,1
3,18,31998.0,1/00720,1
4,18,32157.0,1/00720,1
5,18,32431.0,1/00720,1
6,18,32520.0,1/00720,1
7,18,32762.0,1/00720,1
8,18,32854.0,1/00720,1
9,18,33136.0,1/00720,1
10,18,33656.0,1/00720,1
11,18,33800.0,1/00720,1
12,18,33952.0,1/00720,1
13,18,34048.0,1/00720,1
14,18,34485.0,1/00720,1
15,18,34820.0,1/00720,1
16,18,35131.0,1/00720,1
17,18,35307.0,1/00720,1
18,18,35456.0,1/00720,1
19,18,35592.0,1/00720,1
20,18,36142.0,1/00720,1
21,18,36257.0,1/00720,1
22,18,36400.0,1/00720,1
23,18,36550.0,1/00720,1
24,18,36722.0,1/00720,1
25,18,36786.0,1/00720,1
26,18,36855.0,1/00720,1
27,18,36979.0,1/00720,1
28,18,37080.0,1/00720,1
29,18,37259.0,1/00720,1
1,19,32167.0,1/00720,1
2,19,32332.0,1/00720,1
3,19,32448.0,1/00720,1
4,19,32589.0,1/00720,1
5,19,32777.0,1/00720,1
6,19,32979.0,1/00720,1
7,19,33171.0,1/00720,1
8,19,33245.0,1/00720,1
9,19,33491.0,1/00720,1
10,19,33873.0,1/00720,1
11,19,34021.0,1/00720,1
12,19,34193.0,1/00720,1
13,19,34273.0,1/00720,1
14,19,34695.0,1/00720,1
15,19,35029.0,1/00720,1
16,19,35241.0,1/00720,1
17,19,35454.0,1/00720,1
18,19,35599.0,1/00720,1
19,19,35717.0,1/00720,1
20,19,36147.0,1/00720,1
21,19,36262.0,1/00720,1
22,19,36403.0,1/00720,1
23,19,36559.0,1/00720,1
24,19,36729.0,1/00720,1
25,19,36798.0,1/00720,1
26,19,36984.0,1/00720,1
27,19,37083.0,1/00720,1
28,19,37145.0,1/00720,1
29,19,37283.0,1/00720,1
1,20,32826.0,1/00720,1
2,20,32986.0,1/00720,1
3,20,33153.0,1/00720,1
4,20,33320.0,1/00720,1
5,20,33615.0,1/00720,1
6,20,33828.0,1/00720,1
7,20,33993.0,1/00720,1
8,20,34127.0,1/00720,1
9,20,34446.0,1/00720,1
10,20,35289.0,1/00720,1
11,20,35415.0,1/00720,1
12,20,35638.0,1/00720,1
13,20,35729.0,1/00720,1
14,20,35892.0,1/00720,1
15,20,36091.0,1/00720,1
16,20,36213.0,1/00720,1
17,20,36412.0,1/00720,1
18,20,36616.0,1/00720,1
19,20,36712.0,1/00720,1
20,20,37120.0,1/00720,1
21,20,37211.0,1/00720,1
22,20,37273.0,1/00720,1
23,20,37529.0,1/00720,1
24,20,37603.0,1/00720,1
25,20,37770.0,1/00720,1
26,20,37857.0,1/00720,1
27,20,38006.0,1/00720,1
28,20,38092.0,1/00720,1
29,20,38218.0,1/00720,1
1,21,33423.0,1/00720,1
2,21,33529.0,1/00720,1
3,21,33639.0,1/00720,1
4,21,33758.0,1/00720,1
5,21,33984.0,1/00720,1
6,21,34104.0,1/00720,1
7,21,34210.0,1/00720,1
8,21,34287.0,1/00720,1
9,21,34490.0,1/00720,1
10,21,35302.0,1/00720,1
11,21,35478.0,1/00720,1
12,21,35654.0,1/00720,1
13,21,35744.0,1/00720,1
14,21,35901.0,1/00720,1
15,21,36216.0,1/00720,1
16,21,36350.0,1/00720,1
17,21,36483.0,1/00720,1
18,21,36627.0,1/00720,1
19,21,36716.0,1/00720,1
20,21,37131.0,1/00720,1
21,21,37219.0,1/00720,1
22,21,37387.0,1/00720,1
23,21,37557.0,1/00720,1
24,21,37727.0,1/00720,1
25,21,37786.0,1/00720,1
26,21,37987.0,1/00720,1
27,21,38115.0,1/00720,1
28,21,38186.0,1/00720,1
29,21,38310.0,1/00720,1
1,22,34407.0,1/00720,1
2,22,34537.0,1/00720,1
3,22,34757.0,1/00720,1
4,22,34881.0,1/00720,1
5,22,35150.0,1/00720,1
6,22,35286.0,1/00720,1
7,22,35459.0,1/00720,1
8,22,35534.0,1/00720,1
9,22,35756.0,1/00720,1
10,22,36001.0,1/00720,1
11,22,36171.0,1/00720,1
12,22,36306.0,1/00720,1
13,22,36393.0,1/00720,1
14,22,36701.0,1/00720,1
15,22,36995.0,1/00720,1
16,22,37149.0,1/00720,1
17,22,37282.0,1/00720,1
18,22,37370.0,1/00720,1
19,22,37525.0,1/00720,1
20,22,37824.0,1/00720,1
21,22,37897.0,1/00720,1
22,22,38104.0,1/00720,1
23,22,38260.0,1/00720,1
24,22,38409.0,1/00720,1
25,22,38558.0,1/00720,1
26,22,38708.0,1/00720,1
27,22,38856.0,1/00720,1
28,22,38920.0,1/00720,1
29,22,39051.0,1/00720,1
1,23,35454.0,1/00720,1
2,23,35614.0,1/00720,1
3,23,35782.0,1/00720,1
4,23,35918.0,1/00720,1
5,23,36141.0,1/00720,1
6,23,36273.0,1/00720,1
7,23,36495.0,1/00720,1
8,23,36591.0,1/00720,1
9,23,36752.0,1/00720,1
10,23,36973.0,1/00720,1
11,23,37142.0,1/00720,1
12,23,37321.0,1/00720,1
13,23,37405.0,1/00720,1
14,23,37686.0,1/00720,1
15,23,37928.0,1/00720,1
16,23,38059.0,1/00720,1
17,23,38209.0,1/00720,1
18,23,38314.0,1/00720,1
19,23,38482.0,1/00720,1
20,23,38742.0,1/00720,1
21,23,38842.0,1/00720,1
22,23,38967.0,1/00720,1
23,23,39136.0,1/00720,1
24,23,39306.0,1/00720,1
25,23,39484.0,1/00720,1
26,23,39686.0,1/00720,1
27,23,39806.0,1/00720,1
28,23,39876.0,1/00720,1
29,23,40037.0,1/00720,1
1,24,36532.0,1/00720,1
2,24,36654.0,1/00720,1
3,24,36835.0,1/00720,1
4,24,36978.0,1/00720,1
5,24,37220.0,1/00720,1
6,24,37331.0,1/00720,1
7,24,37426.0,1/00720,1
8,24,37563.0,1/00720,1
9,24,37700.0,1/00720,1
10,24,37913.0,1/00720,1
11,24,38035.0,1/00720,1
12,24,38190.0,1/00720,1
13,24,38264.0,1/00720,1
14,24,38495.0,1/00720,1
15,24,38729.0,1/00720,1
16,24,38809.0,1/00720,1
17,24,39019.0,1/00720,1
18,24,39192.0,1/00720,1
19,24,39317.0,1/00720,1
20,24,39649.0,1/00720,1
21,24,39717.0,1/00720,1
22,24,39812.0,1/00720,1
23,24,39958.0,1/00720,1
24,24,40156.0,1/00720,1
25,24,40300.0,1/00720,1
26,24,40505.0,1/00720,1
27,24,40640.0,1/00720,1
28,24,40702.0,1/00720,1
29,24,40834.0,1/00720,1
1,25,37441.0,1/00720,1
2,25,37679.0,1/00720,1
3,25,37913.0,1/00720,1
4,25,38027.0,1/00720,1
5,25,38212.0,1/00720,1
6,25,38407.0,1/00720,1
7,25,38557.0,1/00720,1
8,25,38626.0,1/00720,1
9,25,38890.0,1/00720,1
10,25,38997.0,1/00720,1
11,25,39142.0,1/00720,1
12,25,39270.0,1/00720,1
13,25,39359.0,1/00720,1
14,25,39692.0,1/00720,1
15,25,39903.0,1/00720,1
16,25,40114.0,1/00720,1
17,25,40248.0,1/00720,1
18,25,40409.0,1/00720,1
19,25,40550.0,1/00720,1
20,25,40829.0,1/00720,1
21,25,40946.0,1/00720,1
22,25,41041.0,1/00720,1
23,25,41193.0,1/00720,1
24,25,41307.0,1/00720,1
25,25,41441.0,1/00720,1
26,25,41640.0,1/00720,1
27,25,41779.0,1/00720,1
28,25,41837.0,1/00720,1
29,25,41963.0,1/00720,1
1,26,38652.0,1/00720,1
2,26,38772.0,1/00720,1
3,26,38907.0,1/00720,1
4,26,39043.0,1/00720,1
5,26,39271.0,1/00720,1
6,26,39499.0,1/00720,1
7,26,39712.0,1/00720,1
8,26,39796.0,1/00720,1
9,26,40079.0,1/00720,1
10,26,40241.0,1/00720,1
11,26,40377.0,1/00720,1
12,26,40517.0,1/00720,1
13,26,40616.0,1/00720,1
14,26,40890.0,1/00720,1
15,26,41078.0,1/00720,1
16,26,41204.0,1/00720,1
17,26,41344.0,1/00720,1
18,26,41500.0,1/00720,1
19,26,41655.0,1/00720,1
20,26,42022.0,1/00720,1
21,26,42136.0,1/00720,1
22,26,42317.0,1/00720,1
23,26,42475.0,1/00720,1
24,26,42564.0,1/00720,1
25,26,42741.0,1/00720,1
26,26,42946.0,1/00720,1
27,26,43089.0,1/00720,1
28,26,43155.0,1/00720,1
29,26,43288.0,1/00720,1
1,27,39593.0,1/00720,1
2,27,39834.0,1/00720,1
3,27,40083.0,1/00720,1
4,27,40230.0,1/00720,1
5,27,40455.0,1/00720,1
6,27,40624.0,1/00720,1
7,27,40766.0,1/00720,1
8,27,40870.0,1/00720,1
9,27,41065.0,1/00720,1
10,27,41312.0,1/00720,1
11,27,41433.0,1/00720,1
12,27,41576.0,1/00720,1
13,27,41686.0,1/00720,1
14,27,42086.0,1/00720,1
15,27,42409.0,1/00720,1
16,27,42538.0,1/00720,1
17,27,42748.0,1/00720,1
18,27,42978.0,1/00720,1
19,27,43070.0,1/00720,1
20,27,43333.0,1/00720,1
21,27,43417.0,1/00720,1
22,27,43592.0,1/00720,1
23,27,43747.0,1/00720,1
24,27,43819.0,1/00720,1
25,27,43892.0,1/00720,1
26,27,44079.0,1/00720,1
27,27,44219.0,1/00720,1
28,27,44289.0,1/00720,1
29,27,44419.0,1/00720,1
1,28,40475.0,1/00720,1
2,28,40679.0,1/00720,1
3,28,40886.0,1/00720,1
4,28,41023.0,1/00720,1
5,28,41259.0,1/00720,1
6,28,41409.0,1/00720,1
7,28,41557.0,1/00720,1
8,28,41648.0,1/00720,1
9,28,41774.0,1/00720,1
10,28,42014.0,1/00720,1
11,28,42168.0,1/00720,1
12,28,42311.0,1/00720,1
13,28,42396.0,1/00720,1
14,28,42686.0,1/00720,1
15,28,42991.0,1/00720,1
16,28,43108.0,1/00720,1
17,28,43337.0,1/00720,1
18,28,43494.0,1/00720,1
